Enrollment_ID,Student_ID,Gender,Programme,Academic_Year,Semester,Course_ID,Course_Name,Attempt_Number,Enrollment_Type,CA_Score,Assignment_Average,Test_Average,Attendance_Percentage,Number_of_Courses,Previous_Semester_GPA,Previous_Failed_Courses,Final_Exam_Score,Final_Result,Academic_Risk,Performance_Index,CA_Attendance_Ratio,CA_Below_50,Attendance_Below_70,Score_Consistency,Student_CA_Mean,Student_Attendance_Mean,Student_Assignment_Mean,Student_Test_Mean,Student_Performance_Std,Student_Low_CA_Count,Risk_Binary,Risk_Binary_Encoded
ENR000001,BSDS001,Male,Bachelor of Science in Data Science,1,1,BICT1101,End User Computing,1,NEW,66.67,61.19,60.82,74.91,5,0.0,0,69.12,PASS,LOW,63.271,0.8900012161258556,0,0,3.2759171743701554,56.086,72.342,58.666,51.653999999999996,6.481068839319641,1,LOW,1
ENR000002,BSDS001,Male,Bachelor of Science in Data Science,1,1,BICT1102,Introduction to Programming,1,NEW,45.44,48.07,43.71,62.89,5,0.0,0,65.66,PASS,MEDIUM,45.709999999999994,0.7225312891506933,1,1,2.1954270655159553,56.086,72.342,58.666,51.653999999999996,6.481068839319641,1,AT_RISK,0
ENR000003,BSDS001,Male,Bachelor of Science in Data Science,1,1,BICT1103,Computer and Communication Technology,1,NEW,61.09,62.09,52.34,70.1,5,0.0,0,65.85,PASS,LOW,58.765,0.8714692052112404,0,0,5.363845013918032,56.086,72.342,58.666,51.653999999999996,6.481068839319641,1,LOW,1
ENR000004,BSDS001,Male,Bachelor of Science in Data Science,1,1,COMM1101,Communication Skills I,1,NEW,52.05,63.68,48.38,87.21,5,0.0,0,75.23,PASS,LOW,54.438,0.5968351568816469,0,0,7.987655058484519,56.086,72.342,58.666,51.653999999999996,6.481068839319641,1,LOW,1
ENR000005,BSDS001,Male,Bachelor of Science in Data Science,1,1,MATH1101,Precalculus,1,NEW,55.18,58.3,53.02,66.6,5,0.0,0,57.76,PASS,MEDIUM,55.468,0.8285284041248643,0,1,2.6545056036859265,56.086,72.342,58.666,51.653999999999996,6.481068839319641,1,AT_RISK,0
ENR000006,BSDS002,Female,Bachelor of Science in Data Science,1,1,BICT1101,End User Computing,1,NEW,65.58,61.49,67.77,62.66,5,0.0,0,67.58,PASS,LOW,65.01,1.0466005351738692,0,1,3.1875434637559557,64.20599999999999,73.202,62.516000000000005,62.410000000000004,3.837652889462516,0,LOW,1
ENR000007,BSDS002,Female,Bachelor of Science in Data Science,1,1,BICT1102,Introduction to Programming,1,NEW,56.36,63.31,49.84,74.47,5,0.0,0,73.2,PASS,MEDIUM,56.489000000000004,0.7568147231348565,0,0,6.736143802898905,64.20599999999999,73.202,62.516000000000005,62.410000000000004,3.837652889462516,0,AT_RISK,0
ENR000008,BSDS002,Female,Bachelor of Science in Data Science,1,1,BICT1103,Computer and Communication Technology,1,NEW,67.42,65.12,63.4,65.26,5,0.0,0,82.17,PASS,LOW,65.524,1.0330982174228902,0,1,2.0169614109678298,64.20599999999999,73.202,62.516000000000005,62.410000000000004,3.837652889462516,0,LOW,1
ENR000009,BSDS002,Female,Bachelor of Science in Data Science,1,1,COMM1101,Communication Skills I,1,NEW,64.43,59.05,66.04,63.62,5,0.0,0,80.9,PASS,LOW,63.29900000000001,1.012731686147173,0,1,3.6605236419579876,64.20599999999999,73.202,62.516000000000005,62.410000000000004,3.837652889462516,0,LOW,1
ENR000010,BSDS002,Female,Bachelor of Science in Data Science,1,1,MATH1101,Precalculus,1,NEW,67.24,63.61,65.0,100.0,5,0.0,0,80.5,PASS,LOW,65.479,0.6723999327600066,0,0,1.8315112157268718,64.20599999999999,73.202,62.516000000000005,62.410000000000004,3.837652889462516,0,LOW,1
